timestamp,value,classification,date,year,month,day,weekday,month_name,year_month
1970-01-01 00:00:01.517463000,30,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.517549400,15,Extreme Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.517635800,40,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.517722200,24,Extreme Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.517808600,11,Extreme Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.517895000,8,Extreme Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.517981400,36,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518067800,30,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518154200,44,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518240600,54,Neutral,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518327000,31,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518413400,42,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518499800,35,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518586200,55,Neutral,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518672600,71,Greed,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518759000,67,Greed,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518845400,74,Greed,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.518931800,63,Greed,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519018200,67,Greed,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519104600,74,Greed,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519191000,54,Neutral,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519277400,44,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519363800,39,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519450200,31,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519536600,33,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519623000,37,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519709400,44,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519795800,41,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519882200,38,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.519968600,47,Neutral,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520055000,56,Greed,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520141400,44,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520227800,55,Neutral,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520314200,59,Greed,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520400600,37,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520487000,39,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520573400,37,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520659800,39,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520746200,40,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520832600,41,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.520919000,41,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.521005400,40,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
1970-01-01 00:00:01.521091800,32,Fear,1970-01-01,1970,1,1,Thursday,January,1970-01
